Valor Arriendo,Valor_Arriendo_SM,Area Construida,Cuartos,Banos,Garajes,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
4100000,3.1538461538461537,140.0,3,3,2,5.0,4.6460675,-74.1060794,281.1186003734502,198.81454457414216,1.0,1.0,1.0,1.0,535.7283398020735,573.4361162196941,263.3590677262008,1.0
1650000,1.2692307692307692,130.0,3,2,0,,4.62045,-74.11155,822.3269794583251,129.45182720429804,1.0,1.0,1.0,1.0,21.576990625528897,250.4549129180813,587.3150864223749,1.0
6500000,5.0,124.0,3,3,2,,4.64259,-74.10287,639.3793059174645,189.41882599416138,1.0,1.0,1.0,1.0,143.93012073560723,143.26188365685618,580.2014432956875,1.0
3500000,2.6923076923076925,74.0,3,2,1,4.0,4.62752781,-74.12337508,190.2616990014958,301.7050987757315,1.0,1.0,1.0,1.0,159.8475044837862,250.20680733537034,51.939323818906445,1.0
6500000,5.0,124.0,3,3,2,4.0,4.64236,-74.1023,620.6898624439216,131.00487147065613,1.0,1.0,1.0,1.0,130.0229759970956,114.38771443071661,532.9259186813103,1.0
1700000,1.3076923076923077,60.0,2,2,0,,4.640130519866943,-74.12716674804688,1077.2605071387295,95.96621826843739,1.0,1.0,1.0,1.0,1233.503254309949,486.5228472243721,455.0344877427759,1.0
3500000,2.6923076923076925,74.0,3,2,1,4.0,4.6380768,-74.1022145,258.10450205695383,339.7486006715827,1.0,1.0,1.0,1.0,597.3602151869411,92.19227350033643,786.6918754751393,1.0
4100000,3.1538461538461537,140.0,3,3,2,5.0,4.6460675,-74.1060794,281.1186003734502,198.81454457414216,1.0,1.0,1.0,1.0,535.7283398020735,573.4361162196941,263.3590677262008,1.0
4500000,3.4615384615384617,72.0,3,2,1,4.0,4.6471,-74.10564,251.31725867519955,91.25492506208845,1.0,1.0,1.0,1.0,541.6587252998003,465.4664889328355,227.49458452282897,1.0
4100000,3.1538461538461537,140.0,3,3,2,5.0,4.6460675,-74.1060794,281.1186003734502,198.81454457414216,1.0,1.0,1.0,1.0,535.7283398020735,573.4361162196941,263.3590677262008,1.0
20000000,15.384615384615385,340.0,3,4,3,4.0,4.648503303527832,-74.10943603515625,198.50519468681856,330.88775661056195,1.0,1.0,1.0,1.0,487.8513959038771,476.96331262730496,178.23998286473804,1.0
3400000,2.6153846153846154,58.0,2,2,1,4.0,4.6426,-74.09975,352.013728997524,157.38800604402238,1.0,1.0,1.0,1.0,258.7449504511822,232.79300184838448,287.7066356013564,1.0
4000000,3.076923076923077,97.0,3,2,1,4.0,4.631965637207031,-74.09637451171875,256.33570767729105,281.0538793679362,1.0,1.0,1.0,1.0,269.8525203332332,265.0644716971892,588.9869164514108,1.0
2300000,1.7692307692307692,67.0,3,2,1,4.0,4.6399977,-74.1247186,880.1111124850383,234.11758152795463,1.0,1.0,1.0,1.0,1261.9331209450072,579.4959171244174,214.6159895053411,1.0
1150000,0.8846153846153846,47.0,2,1,0,3.0,4.61731,-74.10768,921.7407134358137,276.35932053551613,1.0,1.0,1.0,1.0,138.61960221463232,211.5244969533682,199.83575703428554,1.0
6000000,4.615384615384615,85.0,3,2,1,,4.64326,-74.10169,500.34026468844775,85.87196490067133,2.0,1.0,1.0,1.0,34.09357880927346,7.235114937971139,431.63743400335534,1.0
3000000,2.3076923076923075,85.0,3,2,1,4.0,4.63351,-74.0961,412.8453972545555,129.59908048079194,1.0,1.0,1.0,1.0,140.8921514867647,367.763658003338,484.72436594281487,1.0
3300000,2.5384615384615383,114.0,4,3,1,4.0,4.6349800000000005,-74.09663,481.65299918610975,107.03949357634774,2.0,1.0,1.0,1.0,97.65917778155037,199.36777716681496,443.18341087976887,1.0
