Valor Arriendo,Valor_Arriendo_SM,Area Construida,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
2470000,1.9,72.0,,4.75357,-74.06134,1700.2343565634174,129.61175619803154,1.0,1.0,1.0,1.0,371.1710576424957,290.9609383469503,292.4895094852277,1.0
1300000,1.0,53.5,4.0,4.633489,-74.07244,553.9416498631849,21.80045527699614,1.0,1.0,1.0,5.0,147.50974343762144,26.271526267060484,525.7630815880104,1.0
1500000,1.1538461538461537,38.0,4.0,4.630457878112793,-74.06541442871094,287.8775608459764,84.73910926504044,1.0,1.0,1.0,1.0,93.19270234931659,63.44478776606745,97.56494469978745,4.0
2500000,1.9230769230769231,32.0,,4.6584277,-74.06184,166.94656160198934,43.951945069041514,1.0,1.0,1.0,2.0,122.89817582582911,24.32941016467326,207.9709588695994,5.0
1500000,1.1538461538461537,40.0,3.0,4.6532874,-74.07918,383.5680716523428,130.78146762272493,1.0,1.0,1.0,1.0,301.7072108855424,500.39949113750265,1758.950619171494,1.0
1350000,1.0384615384615385,70.0,,4.5845227,-74.10286,335.2929559000289,76.71940314780419,2.0,1.0,1.0,1.0,28.567991937080233,197.63752578124064,204.680051741755,1.0
3800000,2.923076923076923,103.0,,4.721405029296875,-74.02998352050781,2357.1348378813054,294.70554333539445,1.0,1.0,1.0,1.0,457.74335538964897,15.107962416801607,262.0096962199647,1.0
4700000,3.6153846153846154,64.0,,4.65786,-74.05958,106.60293837033562,34.69477108582297,1.0,1.0,2.0,3.0,59.765220488152444,134.84768849151288,369.18843979844223,2.0
2700000,2.076923076923077,74.0,4.0,4.68237,-74.09894,652.3159302434602,52.46933731242834,1.0,1.0,1.0,4.0,181.737950649662,195.36942036958337,1385.9458689593353,1.0
3900000,3.0,83.0,,4.689426,-74.04231,373.96312422919897,106.33475802478672,1.0,1.0,1.0,1.0,377.9013733283183,507.49391854886346,99.57523155264049,1.0
1600000,1.2307692307692308,37.0,2.0,4.7466803,-74.023506,1590.2811908267497,409.3934529329552,1.0,1.0,1.0,1.0,597.310771669766,307.0919572765369,19.115983295470812,1.0
2200000,1.6923076923076923,40.0,4.0,4.6151323,-74.065544,408.1914582860813,154.317463406325,1.0,1.0,1.0,1.0,145.26233919622757,266.1485376039232,211.49313302258685,3.0
2900000,2.230769230769231,83.0,2.0,4.777387,-74.04261,807.4080204195478,59.64677987175173,1.0,1.0,1.0,1.0,1582.2683151911651,1489.3703892315264,1647.6966815680473,1.0
1200000,0.9230769230769231,60.0,3.0,4.602984,-74.12039,110.01763715827323,124.04138673135894,1.0,1.0,1.0,1.0,136.26351260858183,84.15179282111748,56.09232216089814,1.0
9000000,6.923076923076923,238.0,5.0,4.73231,-74.07215,611.2488379321438,152.25957218137253,1.0,1.0,1.0,1.0,517.3309648341137,538.0089871509766,326.39772125394745,1.0
12000000,9.23076923076923,139.0,,4.650111198425293,-74.04852294921875,1390.1668408781031,683.1751508687151,1.0,1.0,1.0,1.0,651.1458723663748,746.0004230305223,167.65899453109031,1.0
4900000,3.769230769230769,100.0,6.0,4.692634105682373,-74.05376434326172,271.0764211340152,309.14885680693493,1.0,1.0,1.0,1.0,231.2346426683847,235.23194712018497,684.0921879721819,1.0
10000000,7.6923076923076925,326.51,6.0,4.719205,-74.079351,561.1494448018889,425.2033338206452,1.0,1.0,1.0,1.0,764.928875135548,706.7616392965267,542.7349421750394,1.0
6300000,4.846153846153846,116.0,5.0,4.688,-74.04486,519.0837672080023,221.1386826854911,1.0,1.0,1.0,1.0,284.3581821961312,219.29914925391972,105.98844127976618,1.0
